file_name,box.0,box.1,box.2,box.3,text,label
0000999294.json,645,574,684,591,4.45,answer
0000999294.json,639,607,677,619,3.46,answer
0000999294.json,644,640,681,652,4.61,answer
0000999294.json,646,670,677,683,2.08,answer
0000999294.json,642,697,679,715,2.82,answer
0000999294.json,637,729,676,747,3.39,answer
0000999294.json,643,762,675,776,3.99,answer
0000999294.json,550,883,675,904,620915734,other
0000999294.json,113,829,163,843,+/-/*,other
0000999294.json,107,848,180,859,++/--/**,other
0000999294.json,101,861,191,875,+++/---/***,other
0000999294.json,45,795,113,808,Attribute,other
0000999294.json,116,795,163,809,scores,other
0000999294.json,156,794,216,808,reflectia,other
0000999294.json,213,794,228,808,a,other
0000999294.json,228,796,305,808,comparison,other
0000999294.json,303,790,323,803,of,other
0000999294.json,328,792,349,805,the,other
0000999294.json,354,792,382,807,test,other
0000999294.json,384,794,441,805,product,other
0000999294.json,441,794,460,805,to,other
0000999294.json,465,792,489,805,the,other
0000999294.json,491,791,548,805,smoker's,other
0000999294.json,546,789,580,806,most,other
0000999294.json,579,792,621,805,often,other
0000999294.json,624,789,663,806,brand,other
0000999294.json,8,790,42,808,NOTE,other
0000999294.json,60,60,231,89,TOP- LINES MENTHOL PRODUCT TEST,header
0000999294.json,493,39,563,56,C273- 82- 7,answer
0000999294.json,488,55,559,69,1982 102KL,answer
0000999294.json,486,73,538,86,1 of 4,answer
0000999294.json,441,42,485,56,PDC #,question
0000999294.json,408,58,484,73,PROJECT #,question
0000999294.json,429,73,484,88,PAGE #,question
0000999294.json,185,113,493,134,KOOL Lights KS vs. Bright KS Product Monitor,answer
0000999294.json,182,140,582,188,"408 Menthol Lights / 105 Menthol Ultra, 111 Non- Menthol Lights / 92 Non- Menthol Ultras)",answer
0000999294.json,189,197,313,215,"September 13, 1982",answer
0000999294.json,58,205,153,219,FIELD DATE:,question
0000999294.json,165,233,254,250,# 839 / 869,answer
0000999294.json,167,275,255,296,# 369 / 839,other
0000999294.json,265,232,452,266,KOOL Lights KS- white tip- ping masked,question
0000999294.json,644,236,677,248,.4 4,answer
0000999294.json,574,274,607,291,13. 5,answer
0000999294.json,521,275,545,292,.55,answer
0000999294.json,473,275,500,289,5. 5,answer
0000999294.json,267,289,665,320,masked / a certain proportion of the menthol result is pep- perrront oil; R&D is unable to determine the percentage.,other
0000999294.json,269,275,443,291,Bright KS white tipping-,question
0000999294.json,458,328,608,343,Total Menthol Smokers,other
0000999294.json,375,343,413,372,Total (205),question
0000999294.json,448,343,483,373,Male (99),question
0000999294.json,512,343,558,374,Female (106),question
0000999294.json,586,342,625,368,21- 34 (96),question
0000999294.json,649,343,682,371,35+ 109,question
0000999294.json,215,396,298,415,KOOL Lights,question
0000999294.json,210,458,310,476,No Preference,question
0000999294.json,506,518,542,537,21- 34,header
0000999294.json,15,574,121,605,STRENGTH (7= Stronger),question
0000999294.json,14,607,119,635,SMOOTHNESS (7= 5moother,question
0000999294.json,12,633,118,666,AMT MENTHOL (7= More),question
0000999294.json,14,669,126,698,MENTHOL TASTE (7= Better,question
0000999294.json,13,698,98,727,SATISFYING (7= More,question
0000999294.json,11,730,118,760,APTERTASTE (7= Pleasant),question
0000999294.json,13,765,109,793,EASE OF DRAW 17 Easier,question
0000999294.json,195,829,394,843,Directional Difference:,question
0000999294.json,401,827,598,845,66 79% confidence Level,answer
0000999294.json,403,843,596,862,80- 94% confidence Level,answer
0000999294.json,399,856,582,881,95+% confidence Level,answer
0000999294.json,193,846,364,863,Marginal Difference:,question
0000999294.json,198,862,389,879,Significant Difference:,question

file_name,box.0,box.1,box.2,box.3,text,label
0001118259.json,221,71,264,89,B&W,header
0001118259.json,221,41,263,70,,other
0001118259.json,377,366,416,380,WCC,answer
0001118259.json,697,796,721,927,621800455,other
0001118259.json,511,50,730,82,Reconstituted Tobacco Leaf Substitutions Export Formulas,other
0001118259.json,601,84,678,95,Revision Date:,question
0001118259.json,254,154,510,194,Allowable Grade Substitutions for Export CPCL,header
0001118259.json,148,253,331,274,Standard Grade Mark,question
0001118259.json,412,257,609,278,Allowable Substitutions,question
0001118259.json,108,282,286,305,PCFS Flue cured fines,answer
0001118259.json,108,328,256,349,PCBS Burley fines,answer
0001118259.json,105,406,306,428,MC- 4 Manufacturing fines,answer
0001118259.json,102,542,243,559,MC -6 Stem Meal,answer
0001118259.json,101,588,244,605,MC -7 Winnowers,answer
0001118259.json,99,634,308,654,RXF Fine flue cured stem,answer
0001118259.json,98,742,280,761,RBF Fine Burely stem,answer
0001118259.json,378,291,522,307,RPCFS or RPCFS-O ,answer
0001118259.json,378,337,523,354,RPCBS OT RPCBS- O,answer
0001118259.json,377,411,430,429,MC -4 -S,answer
0001118259.json,378,439,441,457,MC -4 -PH,answer
0001118259.json,376,471,440,486,MC -4 -RC,answer
0001118259.json,376,500,434,517,MC -4 -W,answer
0001118259.json,374,547,411,564,MC -1,answer
0001118259.json,374,594,425,609,C Stem,answer
0001118259.json,374,638,494,656,RRXF or RRXF -O,answer
0001118259.json,372,670,433,684,RRXM -B,answer
0001118259.json,372,700,431,716,RRXM -T,answer
0001118259.json,370,747,491,765,RRBF or RRBF -O,answer
0001118259.json,370,778,417,793,RRB -B,answer
0001118259.json,369,809,415,823,RRB -L,answer
0001118259.json,369,838,415,852,RRB -T,answer

file_name,box.0,box.1,box.2,box.3,text,label
0001123541.json,10,166,48,179,DATE:,question
0001123541.json,144,165,224,179,DEPARTMENT:,question
0001123541.json,455,208,486,221,Type,question
0001123541.json,503,205,560,222,EQPR,answer
0001123541.json,24,32,91,102,B&W,other
0001123541.json,589,32,664,102,QUALITY,other
0001123541.json,216,648,289,661,Implement:,header
0001123541.json,493,647,524,661,Date,question
0001123541.json,633,771,655,893,632120763,other
0001123541.json,120,45,567,94,QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION,header
0001123541.json,124,94,563,109,"Highest Quality. Teamwork, Do Right Things Right The First Time",other
0001123541.json,228,119,458,137,RESEARCH & DEVELOPMENT,header
0001123541.json,497,149,628,163,Quality Coord Only,header
0001123541.json,53,165,146,179,"June 21, 1993",answer
0001123541.json,250,163,329,180,R&D Library,answer
0001123541.json,144,191,260,207,Carol S. Lincoln,answer
0001123541.json,147,219,225,235,407- 64- 3484,answer
0001123541.json,11,194,102,207,SUBMITTED BY:,question
0001123541.json,11,223,123,234,SUBMITTER'S SS#:,question
0001123541.json,455,179,528,192,Date Rec'd,question
0001123541.json,454,193,529,206,QIP Log #1,question
0001123541.json,454,221,548,235,Status (1993),question
0001123541.json,455,236,562,250,Keywords (1993),question
0001123541.json,546,168,616,197,6/ 21/ 93,answer
0001123541.json,541,190,627,210,93- 0301,answer
0001123541.json,11,278,358,295,SUGGESTION: (Describe Current Situation and Idea),question
0001123541.json,32,306,684,430,"The current system of managing records is too complex. The trend seems to be increasingly specific, when we should be getting more general. Right now, people must work to understand the system. We must spend too much time adninistering the system, labeling and cleaning our files. Complying is a real burden, both for the individual and for the records coordinators.",answer
0001123541.json,11,476,301,491,Describe Possible Solutions And Benefits,question
0001123541.json,32,500,362,519,1. Drop the category specifications altogether.,answer
0001123541.json,31,528,259,546,2. Use moregeneral categories.,answer
0001123541.json,32,549,654,601,hote: I have passed this to Scott Appleton for the task force to use in streamlining the records management program.,answer
0001123541.json,11,591,145,605,PROFIT IMPROVEMENT:,question
0001123541.json,152,591,261,606,(If Applicable),answer
0001123541.json,11,647,99,662,RESPOND HERE,question
0001123541.json,304,644,346,664,☐ Yes,question
0001123541.json,362,644,397,664,☐ No,question
0001123541.json,409,642,480,663,☐ Pending,question
0001123541.json,54,874,222,891,Approval Signature/ Date,question
0001123541.json,420,874,526,888,Responder/ Date,question
0001123541.json,263,876,416,903,Sign & Print Names) (See Instructions On Back),question

file_name,box.0,box.1,box.2,box.3,text,label
0001129658.json,96,177,118,192,FAX:,question
0001129658.json,75,337,116,351,DATE:,question
0001129658.json,75,286,117,301,FROM:,question
0001129658.json,457,288,544,305,CHARGEBACK:,question
0001129658.json,106,404,176,418,RECIPIENT,question
0001129658.json,235,402,298,419,COMPANY,question
0001129658.json,398,404,425,418,FAX,question
0001129658.json,426,405,451,418,No.,question
0001129658.json,77,532,147,546,COMMENTS,question
0001129658.json,538,934,562,952,No:,question
0001129658.json,258,936,299,953,Name:,question
0001129658.json,196,936,221,951,Yes,question
0001129658.json,105,937,193,952,Confirmation:,header
0001129658.json,686,831,706,926,2074956978,other
0001129658.json,591,102,650,144,,other
0001129658.json,77,95,488,151,WINSTON & STRAWN,header
0001129658.json,514,137,614,158,Fax Cover Sheet,header
0001129658.json,95,155,466,181,"MAMI TRIAL SITE, 2000 FIRST UNION FINANCIAL CENTER, 200 SOUTH BISCAYNE BOULEVARD MIAMI, FLORIDA 33131",other
0001129658.json,126,179,225,192,(305) 400 6 06,answer
0001129658.json,77,205,197,238,200 PARK AVENUE NEWYORK NY 10166 4193 212 294-6700,other
0001129658.json,219,207,346,236,400 L. STREET N WASHWINGTON DC 20005 3502 202 371 5700,other
0001129658.json,360,208,442,239,35 WEST WACKER CHICAGO. IL 30601 312- 588 5800,other
0001129658.json,500,209,594,239,"21 AVENUE VICTOR HUGO 75 PARIS, FRANCE 33- 53 64 62 82",other
0001129658.json,267,256,355,273,Fax Number:,question
0001129658.json,359,256,454,273,305 400- 6107,answer
0001129658.json,161,286,234,304,Kevin Narko,answer
0001129658.json,161,335,213,349,10/ 13/ 99,answer
0001129658.json,468,310,523,324,4162/ 158,answer
0001129658.json,246,370,472,387,Please Deliver as soon Possible To:,header
0001129658.json,108,430,193,449,John Mulderig,answer
0001129658.json,109,458,192,476,Gregory Little,answer
0001129658.json,235,430,315,450,Philip Morris,answer
0001129658.json,236,459,313,479,Philip Morris,answer
0001129658.json,399,432,482,449,917 -663 -5796,answer
0001129658.json,397,461,481,476,917- 663 5979,answer
0001129658.json,514,432,596,447,917- 663 3056,answer
0001129658.json,514,404,588,420,PHONE No.,question
0001129658.json,239,497,479,516,Total number of pages including this page:,question
0001129658.json,85,677,620,722,"IF YOU DO NOT RECEIVE ALL THE PAGES, PLEASE CALL OUR FAX OPERATOR AS SOON AS POSSIBLE THANK YOU. 312- 558- 5948",other
0001129658.json,82,821,639,873,"The information contained in this facsimile message is attorncy privileged and confidential information intended only for the use of the individual or entity named above. If the reader of this message is not the intended recipient, or the employee or agent responsible to deliver it to the intended recipient, you are hereby notified that any dissemination, distribution or copying this communication strictly prohibited.",other
0001129658.json,84,881,636,908,"If you have received this communication in error, please immediately notify us by telephone, and return the original message to us at the above address via the U. S. Postal Service. Thank you.",other
0001129658.json,105,919,204,935,Operator Initials:,question

file_name,box.0,box.1,box.2,box.3,text,label
0001209043.json,41,127,84,144,Brand,question
0001209043.json,41,154,87,172,Title,question
0001209043.json,41,211,77,226,Size,question
0001209043.json,39,239,110,253,Magazine,question
0001209043.json,41,295,112,309,Location,question
0001209043.json,496,204,502,210,,question
0001209043.json,182,394,225,409,SCORE,question
0001209043.json,250,394,282,409,BASE,question
0001209043.json,337,394,382,407,SCORE,question
0001209043.json,404,394,438,407,BASE,question
0001209043.json,542,376,613,393,COMMENTS,question
0001209043.json,222,377,250,394,PM6,header
0001209043.json,39,454,106,472,OVERALL,question
0001209043.json,41,511,76,524,SEX:,header
0001209043.json,41,595,76,609,AGE:,header
0001209043.json,41,525,77,538,Male,question
0001209043.json,41,538,93,553,Female,question
0001209043.json,568,154,597,169,214,answer
0001209043.json,138,239,177,254,TIME,answer
0001209043.json,194,455,221,469,1.0,answer
0001209043.json,247,455,282,472,(.97),answer
0001209043.json,351,457,371,471,31,answer
0001209043.json,399,453,440,470,(167),answer
0001209043.json,404,524,439,539,(83),answer
0001209043.json,404,539,439,552,(84),answer
0001209043.json,352,524,372,538,31,answer
0001209043.json,352,541,372,552,31,answer
0001209043.json,247,524,283,541,(51),answer
0001209043.json,246,541,284,555,(46),answer
0001209043.json,194,525,222,540,2.0,answer
0001209043.json,194,541,225,554,0.0,answer
0001209043.json,404,704,443,718,(81),answer
0001209043.json,402,718,443,735,(86),answer
0001209043.json,352,703,374,718,33,answer
0001209043.json,355,721,373,736,29,answer
0001209043.json,250,703,288,721,(42),answer
0001209043.json,250,719,288,736,(55),answer
0001209043.json,196,703,225,718,2.4,answer
0001209043.json,196,718,228,735,0.0,answer
0001209043.json,570,830,634,847,4/19/74,answer
0001209043.json,500,892,613,912,770205964,other
0001209043.json,356,786,374,801,33,answer
0001209043.json,405,788,444,805,(42),answer
0001209043.json,406,803,445,818,(125),answer
0001209043.json,356,806,376,820,30,answer
0001209043.json,279,36,412,83,MAGAZINE SCORES AUDIENCE STUDIES,header
0001209043.json,138,124,236,143,SALEM (RJR),answer
0001209043.json,459,127,538,145,Project #,question
0001209043.json,458,154,564,172,Total Sample,question
0001209043.json,568,123,612,141,74- 80,answer
0001209043.json,141,152,266,169,"""HEAD IN WATER""",answer
0001209043.json,41,182,90,203,Code #,question
0001209043.json,137,209,220,226,FULL PAGE,answer
0001209043.json,39,267,127,284,Field Date,question
0001209043.json,138,265,323,284,"WEEK OF MARCH 25, 1974",answer
0001209043.json,138,292,584,312,"CHICAGO, DALLAS/ FORT WORTH, INDIANAPOLIS, LOS ANGELES",answer
0001209043.json,138,321,417,338,"MEMPHIS, PHILADELPHIA, PITTSBURGH",answer
0001209043.json,41,356,195,373,Sample Description,question
0001209043.json,204,359,462,376,MALE AND FEMALE MENTHOL SMOKERS,answer
0001209043.json,330,377,435,394,PROVED RECALL,header
0001209043.json,471,454,693,566,Tested among a half sample of smokers. Sub- group scores subject to wide variation because of small sample size and should be averaged across several ads for meaningful infor- mation.,answer
0001209043.json,42,608,110,622,Under 25,question
0001209043.json,43,622,87,636,25- 34,question
0001209043.json,42,634,86,649,35- 44,question
0001209043.json,43,649,120,664,45 & Over,question
0001209043.json,43,704,112,719,Under 35,question
0001209043.json,43,719,119,734,35 & Over,question
0001209043.json,43,775,147,789,BRAND SMOKED:,header
0001209043.json,41,789,192,804,Test Brand Smokers,question
0001209043.json,43,803,181,820,All Other Smokers,question
0001209043.json,486,830,565,847,Date Sent,question
0001209043.json,575,842,648,857,PI- 7653,other

file_name,box.0,box.1,box.2,box.3,text,label
0001239897.json,112,209,123,217,,other
